compound_name,molecular_formula,monoisotopic_mass,mz_m_plus_h,mz_m_minus_h,rt_rp,rt_hilic,class
Cytidine,C9H13N3O5,243.0855205,244.0927969522,242.0782440478,0.88,5.75,Nucleosides-related
L-Alanine,C3H7NO2,89.04767847,90.0549549222,88.0404,0.92,7.07,Amino acids
L-Glutamine,C5H10N2O3,146.0691422,147.0764186522,145.0618657478,0.92,7.26,Amino acids
L-Asparagine,C4H8N2O3,132.0534921,132.05349,131.0462156478,0.95,7.29,Amino acids
N-Ethylglycine,C4H9NO2,103.0633285,104.0706049522,102.0560520478,0.95,6.6,Amino acid derivate
L-Cysteine,C3H7NO2S,121.0197496,122.0270260522,120.0124731478,0.97,,Amino acids
Maltitol,C12H24O11,344.1318616,345.13914,343.1245851478,0.97,7.28,Sugar alcohols
L-Methionine,C5H11NO2S,149.0510498,150.0583262522,,0.99,6.42,Amino acids
5-Hydroxy-L-Tryptophan,C11H12N2O3,220.0847923,221.0920687522,,1.21,6.66,Amino acids
L-Malic acid,C4H6O5,134.0215233,,133.0142468478,1.03,7.02,Organic acids
Citric acid,C6H8O7,192.0270026,,191.0197261478,1.23,,Organic acids
Uridine,C9H12N2O6,244.0695361,,243.0622596478,1.23,3.62,Nucleosides-related
L-Tartaric acid,C4H6O6,150.0164379,,149.0091614478,1.05,7.11,Organic acids
D-Leucine,C6H13NO2,131.0946287,132.1019051522,130.0873522478,1.21,6.17,Amino acids
3-Hydroxybutyric acid,C4H8O3,104.0473441,,103.0400676478,1.23,4.68,Organic acids
Sulfanilamide,C6H8N2O2S,172.0306487,173.0379251522,,1.3,,Xenobiotics
D-Tryptophan,C11H12N2O2,204.0898776,205.0971540522,203.0826011478,1.57,6.21,Amino acids
Chlorogenic acid,C16H18O9,354.0950822,355.1023586522,,1.94,5.2,Organic acids
Caffeine,C8H10N4O2,194.0803756,195.0876520522,,2.2,1.1,Alkaloids
Vanillic acid,C8H8O4,168.0422587,169.0495351522,167.0349822478,2.99,,Organic acids
Benzoic acid,C7H6O2,122.0367794,123.0440558522,121.0295029478,6.51,,Organic acids
Syringaldehide,C9H10O4,182.0579088,183.0651852522,181.0506323478,5.59,7.26,Aromatic compounds
Umbelliferone,C9H6O3,162.031694,163.0389704522,161.0244175478,5.67,1,Aromatic compounds
Astilbin,C21H22O11,450.1162115,451.1234879522,449.1089350478,6.12,4,Flavonoids / polyphenols (plant secondary metabolites)
Naringin,C27H32O14,580.1792057,581.1864821522,579.1719292478,6.34,5.11,Flavonoids / polyphenols (plant secondary metabolites)
Myricetin,C15H10O8,318.0375673,319.0448437522,317.0302908478,6.51,,Flavonoids / polyphenols (plant secondary metabolites)
Thidiazuron,C9H10N4OS,220.0418821,221.0491585522,219.0346056478,7.27,1.13,Xenobiotics
Colchicine,C22H25NO6,399.168188,400.17601,,6.92,1.33,Alkaloids
Hesperetin,C16H14O6,302.0790382,303.0863146522,301.0717617478,7.66,1.04,Flavonoids / polyphenols (plant secondary metabolites)
"1,3-Diphenylurea",C13H12N2O,212.094963,213.1022394522,211.0876865478,8.32,0.96,Xenobiotics
Galangin,C15H10O5,270.0528234,271.0600998522,269.0455469478,8.78,1.0,Flavonoids / polyphenols (plant secondary metabolites)
"2,3,5-Triiodobenzoic acid",C7H3I3O2,499.7267,,498.7194235478,9.47,1.32,Organic acids
Pentadecanoic acid,C15H30O2,242.2245802,,241.2173037478,13.32,1.01,Fatty acids
Maltotetraose (NEW),C24H42O21,666.2219,667.22918,665.2146,,7.88,
Asiaticoside (NEW),C48H78O19,958.5137,959.52098,957.5065,6.96,,
