compound_name,ion_type,mz,retention_time,polarity
"1,3-Diphenylurea",[M+H]+,213.1022395,8.05,positive
Myricetin,[M+H]+,319.0448438,5.88,positive
Thidiazuron,[M+H]+,221.0491586,6.84,positive
5-Hydroxy-L-Tryptophan,[M+H]+,221.0920688,1,positive
Astilbin,[M+H]+,451.123488,5.37,positive
Galangin,[M+H]+,271.0600999,8.6,positive
Hesperetin,[M+H]+,303.0863147,7.32,positive
Vanillic acid,[M+H]+,169.0495352,3.4,positive
Benzoic acid,[M+H]+,123.0440559,4.16,positive
Chlorogenic acid,[M+H]+,355.1023587,2.51,positive
Naringin,[M+H]+,581.1864822,5.63,positive
Sulfanilamide,[M+H]+,173.0379252,1.37,positive
Syringaldehide,[M+H]+,183.0651853,5.04,positive
Umbelliferone,[M+H]+,163.0389705,5.13,positive
D-Tryptophan,[M+H]+,205.0971541,1.94,positive
Alanine,[M+H]+,90.05495492,0.9,positive
Caffeine,[M+H]+,195.0876521,2.71,positive
Cytidine,[M+H]+,244.092797,0.89,positive
D-Leucine,[M+H]+,132.1019052,1.25,positive
L-Cysteine,[M+H]+,122.0270261,0.97,positive
L-Glutamine,[M+H]+,147.0764187,0.93,positive
L-Methionine,[M+H]+,150.0583263,0.99,positive
N-Ethylglycine,[M+H]+,104.070605,0.95,positive
"1,3-Diphenylurea",[M-H]-,211.0876865,8.05,negative
Myricetin,[M-H]-,317.0302908,5.88,negative
Thidiazuron,[M-H]-,219.0346056,6.84,negative
Astilbin,[M-H]-,449.108935,5.37,negative
Galangin,[M-H]-,269.0455469,8.6,negative
Hesperetin,[M-H]-,301.0717617,7.32,negative
Vanillic acid,[M-H]-,167.0349822,3.4,negative
"2,3,5-Triiodobenzoic acid",[M-H]-,498.7194235,9.31,negative
Benzoic acid,[M-H]-,121.0295029,4.16,negative
Malic acid,[M-H]-,133.0142468,1.03,negative
Naringin,[M-H]-,579.1719292,5.63,negative
Pentadecanoic acid,[M-H]-,241.2173037,12.68,negative
Syringaldehide,[M-H]-,181.0506323,5.04,negative
Umbelliferone,[M-H]-,161.0244175,5.13,negative
D-Tryptophan,[M-H]-,203.0826011,1.94,negative
3-Hydroxybutyric acid,[M-H]-,103.0400676,1.36,negative
Citric acid,[M-H]-,191.0197261,1.03,negative
Cytidine,[M-H]-,242.078244,0.89,negative
D-Leucine,[M-H]-,130.0873522,1.25,negative
L-Asparagine,[M-H]-,131.0462156,0.95,negative
L-Cysteine,[M-H]-,120.0124731,0.97,negative
L-Glutamine,[M-H]-,145.0618657,0.93,negative
Maltitol,[M-H]-,343.1245851,0.98,negative
N-Ethylglycine,[M-H]-,102.056052,0.95,negative
Tartaric acid,[M-H]-,149.0091614,1.08,negative
Uridine,[M-H]-,243.0622596,1.03,negative
