compound_name,ion_type,mz,retention_time,polarity
"1,3-Diphenylurea",[M+H]+,213.1022395,8.32,positive
Myricetin,[M+H]+,319.0448438,6.51,positive
Thidiazuron,[M+H]+,221.0491586,7.27,positive
5-Hydroxy-L-Tryptophan,[M+H]+,221.0920688,1.21,positive
Astilbin,[M+H]+,451.123488,6.12,positive
Galangin,[M+H]+,271.0600999,8.78,positive
Hesperetin,[M+H]+,303.0863147,7.66,positive
Vanillic acid,[M+H]+,169.0495352,2.99,positive
Benzoic acid,[M+H]+,123.0440559,6.51,positive
Chlorogenic acid,[M+H]+,355.1023587,1.94,positive
Naringin,[M+H]+,581.1864822,6.34,positive
Sulfanilamide,[M+H]+,173.0379252,1.3,positive
Syringaldehide,[M+H]+,183.0651853,5.59,positive
Umbelliferone,[M+H]+,163.0389705,5.67,positive
D-Tryptophan,[M+H]+,205.0971541,1.57,positive
Alanine,[M+H]+,90.05495492,0.92,positive
Caffeine,[M+H]+,195.0876521,2.2,positive
Cytidine,[M+H]+,244.092797,0.88,positive
D-Leucine,[M+H]+,132.1019052,1.21,positive
L-Cysteine,[M+H]+,122.0270261,0.97,positive
L-Glutamine,[M+H]+,147.0764187,0.92,positive
L-Methionine,[M+H]+,150.0583263,0.99,positive
N-Ethylglycine,[M+H]+,104.070605,0.95,positive
"1,3-Diphenylurea",[M-H]-,211.0876865,8.32,negative
Myricetin,[M-H]-,317.0302908,6.51,negative
Thidiazuron,[M-H]-,219.0346056,7.27,negative
Astilbin,[M-H]-,449.108935,6.12,negative
Galangin,[M-H]-,269.0455469,8.78,negative
Hesperetin,[M-H]-,301.0717617,7.66,negative
Vanillic acid,[M-H]-,167.0349822,2.99,negative
"2,3,5-Triiodobenzoic acid",[M-H]-,498.7194235,9.47,negative
Benzoic acid,[M-H]-,121.0295029,6.51,negative
Malic acid,[M-H]-,133.0142468,1.03,negative
Naringin,[M-H]-,579.1719292,6.34,negative
Pentadecanoic acid,[M-H]-,241.2173037,13.32,negative
Syringaldehide,[M-H]-,181.0506323,5.59,negative
Umbelliferone,[M-H]-,161.0244175,5.67,negative
D-Tryptophan,[M-H]-,203.0826011,1.57,negative
3-Hydroxybutyric acid,[M-H]-,103.0400676,1.23,negative
Citric acid,[M-H]-,191.0197261,1.23,negative
Cytidine,[M-H]-,242.078244,0.88,negative
D-Leucine,[M-H]-,130.0873522,1.21,negative
L-Asparagine,[M-H]-,131.0462156,0.95,negative
L-Cysteine,[M-H]-,120.0124731,0.97,negative
L-Glutamine,[M-H]-,145.0618657,0.92,negative
Maltitol,[M-H]-,343.1245851,0.97,negative
N-Ethylglycine,[M-H]-,102.056052,0.95,negative
Tartaric acid,[M-H]-,149.0091614,1.05,negative
Uridine,[M-H]-,243.0622596,1.23,negative
